,squad,Season,tackles,tackles_won,tackles_att_3rd,tackles_def_3rd,tackles_mid_3rd,blocks,interceptions,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,goals_per_90
49,Eibar,201819#,14.28947368,380,0.1731123389,0.4125230203,0.4143646409,12.23684211,6.631578947,es ESP,12,38,11,14,13,46,50,-4,47,1.24,54.8,45.9,9,0.24,4896,Charles - 14,Marko Dmitrovic,1.315789474
50,Eibar,201920#,14.31578947,330,0.1636029412,0.4375,0.3988970588,13.81578947,6.578947368,es ESP,14,38,11,9,18,39,56,-17,42,1.11,42,53,-11,-0.29,4151,Fabián Orellana - 8,Marko Dmitrović,1.473684211
51,Eint Frankfurt,201819#,10.38235294,234,0.07932011331,0.5354107649,0.3852691218,10.23529412,5.676470588,de GER,7,34,15,9,10,60,48,12,54,1.59,57.2,50.7,6.6,0.19,49794,Luka Jovic - 17,Kevin Trapp,1.411764706
52,Eint Frankfurt,201920#,19.85294118,441,0.1155555556,0.4607407407,0.4237037037,16.67647059,7.352941176,de GER,9,34,13,6,15,59,60,-1,45,1.32,59.5,49.9,9.6,0.28,35435,André Silva - 12,Kevin Trapp,1.764705882
53,Empoli,201819#,12.60526316,307,0.1356993737,0.4780793319,0.3862212944,11.71052632,5.894736842,it ITA,18,38,10,8,20,51,70,-19,38,1,52.4,63.6,-11.3,-0.3,9620,Francesco Caputo - 16,Ivan Provedel,1.842105263
54,Espanyol,201819#,16.26315789,405,0.1116504854,0.5145631068,0.3737864078,13,8.052631579,es ESP,7,38,14,11,13,48,50,-2,53,1.39,48.9,53.8,-4.9,-0.13,19388,Borja Iglesias - 17,Diego López,1.315789474
55,Espanyol,201920#,16.84210526,402,0.1015625,0.5015625,0.396875,14.5,6.605263158,es ESP,20,38,5,10,23,27,58,-31,25,0.66,38.6,51,-12.4,-0.33,16260,Raúl de Tomás David López... - 4,Diego López,1.526315789
56,Everton,201819#,12.89473684,299,0.1367346939,0.4918367347,0.3714285714,12.15789474,7.210526316,eng ENG,8,38,15,9,14,54,46,8,54,1.42,49.7,45.7,4,0.1,39043,Gylfi Sigurðsson Richarlison - 13,Jordan Pickford,1.210526316
57,Everton,201920#,19.44736842,423,0.1393775372,0.49932341,0.3612990528,15.47368421,7.342105263,eng ENG,12,38,13,10,15,44,56,-12,49,1.29,50.8,48.3,2.5,0.07,28848,Dominic Calvert-Lewin Richarlison - 13,Jordan Pickford,1.473684211
58,Fiorentina,201819#,14.31578947,357,0.1121323529,0.4724264706,0.4154411765,13.5,7.394736842,it ITA,16,38,8,17,13,47,45,2,41,1.08,54,41,13,0.34,31178,Marco Benassi - 7,Alban Lafont,1.184210526
59,Fiorentina,201920#,18.05263158,428,0.1253644315,0.5349854227,0.3396501458,15.47368421,7.078947368,it ITA,10,38,12,13,13,51,48,3,49,1.29,53.6,48.9,4.7,0.12,22486,Federico Chiesa - 10,Bartłomiej Drągowski,1.263157895
60,Freiburg,201819#,13.73529412,283,0.1049250535,0.5674518201,0.3276231263,12.94117647,7.558823529,de GER,13,34,8,12,14,46,61,-15,36,1.06,40.9,61.1,-20.2,-0.6,23894,Nils Petersen - 10,Alexander Schwolow,1.794117647
61,Freiburg,201920#,15.08823529,309,0.1169590643,0.5126705653,0.3703703704,16.58823529,7.441176471,de GER,8,34,13,9,12,48,47,1,48,1.41,46.7,64.6,-17.8,-0.52,16888,Nils Petersen - 11,Alexander Schwolow,1.382352941
62,Frosinone,201819#,15.57894737,383,0.1064189189,0.5641891892,0.3293918919,14.81578947,8.921052632,it ITA,19,38,5,10,23,29,69,-40,25,0.66,38.9,62,-23.1,-0.61,12656,Camillo Ciano - 7,Marco Sportiello,1.815789474
63,Fulham,201819#,12.89473684,319,0.08571428571,0.5775510204,0.3367346939,13.97368421,7.894736842,eng ENG,19,38,7,5,26,34,81,-47,26,0.68,41.3,68.2,-26.8,-0.71,24371,Aleksandar Mitrovic - 11,Sergio Rico,2.131578947
64,Genoa,201819#,16.52631579,402,0.1130573248,0.4968152866,0.3901273885,11.81578947,7.631578947,it ITA,17,38,8,14,16,39,57,-18,38,1,46.9,53.3,-6.4,-0.17,20950,Krzysztof Piatek - 13,Ionu? Radu,1.5
65,Genoa,201920#,16.10526316,388,0.1258169935,0.5098039216,0.364379085,16.26315789,8.184210526,it ITA,17,38,10,9,19,47,73,-26,39,1.03,48.7,60,-11.3,-0.3,14016,Goran Pandev - 9,Mattia Perin,1.921052632
66,Getafe,201819#,14.13157895,343,0.1508379888,0.4283054004,0.4208566108,12.39473684,7.394736842,es ESP,5,38,15,14,9,48,35,13,59,1.55,46.2,43.6,2.6,0.07,11000,Jorge Molina Jaime Mata - 14,David Soria,0.9210526316
67,Getafe,201920#,16.76315789,386,0.1412872841,0.4034536892,0.4552590267,13.55263158,7,es ESP,8,38,14,12,12,43,37,6,54,1.42,41.6,41.4,0.2,0,8000,Jaime Mata - 11,David Soria,0.9736842105
68,Girona,201819#,14.52631579,347,0.09782608696,0.5018115942,0.4003623188,14.73684211,8.789473684,es ESP,18,38,9,10,19,37,53,-16,37,0.97,43.5,52.7,-9.2,-0.24,10948,Cristhian Stuani - 19,Yassine Bounou,1.394736842
69,Granada,201920#,15.31578947,345,0.1151202749,0.4347079038,0.4501718213,15.39473684,5.605263158,es ESP,7,38,16,8,14,52,45,7,56,1.47,44.9,42.6,2.3,0.06,11174,Carlos Fernández - 10,Rui Silva,1.184210526
72,Hellas Verona,201920#,14.44736842,345,0.1256830601,0.4936247723,0.3806921676,15.71052632,7.342105263,it ITA,9,38,12,13,13,47,51,-4,49,1.29,50.5,53.7,-3.2,-0.08,11248,Samuel Di Carmine - 8,Marco Silvestri,1.342105263
73,Hertha BSC,201819#,10.97058824,227,0.08042895442,0.5040214477,0.4155495979,11.55882353,5.970588235,de GER,11,34,11,10,13,49,57,-8,43,1.26,51,61.4,-10.5,-0.31,49258,Ondrej Duda - 11,Rune Jarstein,1.676470588
74,Hertha BSC,201920#,18,356,0.114379085,0.5114379085,0.3741830065,19.14705882,8.941176471,de GER,10,34,11,8,15,48,59,-11,41,1.21,43.1,54.5,-11.4,-0.34,37689,Vedad Ibišević Dodi Lukebakio - 7,Rune Jarstein,1.735294118
75,Hoffenheim,201819#,12.47058824,270,0.1155660377,0.4693396226,0.4150943396,10.02941176,5.970588235,de GER,9,34,13,12,9,70,52,18,51,1.5,75.9,52.5,23.4,0.69,28456,Andrej Kramaric - 17,Oliver Baumann,1.529411765
76,Hoffenheim,201920#,17,350,0.09169550173,0.5830449827,0.3252595156,17.32352941,7.676470588,de GER,6,34,15,7,12,53,53,0,52,1.53,56.1,59.6,-3.4,-0.1,20449,Andrej Kramarić - 12,Oliver Baumann,1.558823529
77,Huddersfield,201819#,17.47368421,391,0.125,0.4623493976,0.4126506024,15.73684211,10.39473684,eng ENG,20,38,3,7,28,22,76,-54,16,0.42,28.8,60.9,-32.2,-0.85,23203,Karlan Grant - 4,Jonas Lössl,2
78,Huesca,201819#,15.18421053,381,0.08665511265,0.5355285962,0.3778162912,10.52631579,7.394736842,es ESP,19,38,7,12,19,43,65,-22,33,0.87,50.8,60.2,-9.4,-0.25,6605,Ezequiel Ávila - 10,Roberto Santamaría,1.710526316
79,Inter,201819#,10.55263158,258,0.1670822943,0.4314214464,0.4014962594,9.578947368,5.263157895,it ITA,4,38,20,9,9,57,33,24,69,1.82,63.8,38.3,25.6,0.67,57405,Mauro Icardi - 11,Samir Handanovic,0.8684210526
80,Inter,201920#,15.15789474,373,0.1579861111,0.4149305556,0.4270833333,15.78947368,6.842105263,it ITA,2,38,24,10,4,81,36,45,82,2.16,69.4,40.7,28.7,0.76,41558,Romelu Lukaku - 23,Samir Handanović,0.9473684211
81,Juventus,201819#,13,337,0.1396761134,0.4736842105,0.3866396761,12.23684211,7.342105263,it ITA,1,38,28,6,4,70,30,40,90,2.37,60.7,35.8,25,0.66,37799,Cristiano Ronaldo - 21,Wojciech Szczesny,0.7894736842
82,Juventus,201920#,16.42105263,382,0.1907051282,0.4375,0.3717948718,16,7.078947368,it ITA,1,38,26,5,7,76,43,33,83,2.18,71.1,44.9,26.1,0.69,25102,Cristiano Ronaldo - 31,Wojciech Szczęsny,1.131578947
83,Lazio,201819#,13.44736842,328,0.1272015656,0.4520547945,0.4207436399,12.39473684,6.947368421,it ITA,8,38,17,8,13,56,46,10,59,1.55,60.4,47,13.4,0.35,33997,Ciro Immobile - 15,Thomas Strakosha,1.210526316
84,Lazio,201920#,17.39473684,419,0.1225416036,0.4901664145,0.3872919818,15.73684211,6.605263158,it ITA,4,38,24,6,8,79,42,37,78,2.05,68,51.1,16.9,0.44,26363,Ciro Immobile - 36,Thomas Strakosha,1.105263158
85,Lecce,201920#,15.13157895,385,0.1130434783,0.5373913043,0.3495652174,16.44736842,7,it ITA,18,38,9,8,21,52,85,-33,35,0.92,54.7,85.6,-30.8,-0.81,15939,Marco Mancosu - 14,Gabriel,2.236842105
86,Leganés,201819#,13.13157895,335,0.1082164329,0.50501002,0.3867735471,11,6.289473684,es ESP,13,38,11,12,15,37,43,-6,45,1.18,40.6,41.2,-0.6,-0.02,10416,Youssef En-Nesyri - 9,Iván Cuéllar,1.131578947
87,Leicester City,201819#,19.36842105,462,0.1059782609,0.5434782609,0.3505434783,17.36842105,9.947368421,eng ENG,9,38,15,7,16,51,48,3,52,1.37,52.4,43.7,8.7,0.23,31851,Jamie Vardy - 18,Kasper Schmeichel,1.263157895
88,Leicester City,201920#,20.55263158,478,0.1139564661,0.4878361076,0.3982074264,15.81578947,8.131578947,eng ENG,5,38,18,8,12,67,41,26,62,1.63,62.2,45.5,16.7,0.44,25312,Jamie Vardy - 23,Kasper Schmeichel,1.078947368
89,Levante,201819#,12.84210526,304,0.1086065574,0.5204918033,0.3709016393,13.39473684,6.5,es ESP,15,38,11,11,16,59,66,-7,44,1.16,53.9,76.2,-22.3,-0.59,20216,Roger Martí - 13,Oier Olazábal,1.736842105
90,Levante,201920#,15.36842105,343,0.09760273973,0.5582191781,0.3441780822,15.28947368,7.868421053,es ESP,12,38,14,7,17,47,53,-6,49,1.29,48.1,62.9,-14.8,-0.39,13196,Roger Martí - 11,Aitor Fernández,1.394736842
91,Leverkusen,201819#,15.91176471,358,0.1035120148,0.5360443623,0.3604436229,15.11764706,8.117647059,de GER,4,34,18,4,12,69,52,17,58,1.71,58.3,44,14.3,0.42,27990,Kai Havertz - 17,Luká Hrádecký,1.529411765
92,Leverkusen,201920#,18.05882353,382,0.1254071661,0.4462540717,0.4283387622,16.26470588,7.235294118,de GER,5,34,19,6,9,61,44,17,63,1.85,59.1,51.2,7.9,0.23,21236,Kai Havertz - 12,Lukáš Hrádecký,1.294117647
93,Lille,201819#,13.47368421,353,0.11328125,0.458984375,0.427734375,12.28947368,5.868421053,fr FRA,2,38,22,9,7,68,33,35,75,1.97,59.5,42.1,17.4,0.46,34079,Nicolas Pépé - 22,Mike Maignan,0.8684210526
94,Lille,201920#,16.71428571,302,0.1153846154,0.4145299145,0.4700854701,13.07142857,6.571428571,fr FRA,4,28,15,4,9,35,27,8,49,1.75,40.3,31.4,8.8,0.32,36404,Victor Osimhen - 13,Mike Maignan,0.9642857143
95,Liverpool,201819#,15.63157895,377,0.1582491582,0.4259259259,0.4158249158,13.42105263,7.657894737,eng ENG,2,38,30,7,1,89,22,67,97,2.55,73.7,28.8,44.9,1.18,52983,Sadio Mané Mohamed Salah - 22,Alisson,0.5789473684
96,Liverpool,201920#,15.94736842,375,0.202970297,0.3712871287,0.4257425743,12.65789474,6.473684211,eng ENG,1,38,32,3,3,85,33,52,99,2.61,68.9,37.7,31.2,0.82,41955,Mohamed Salah - 19,Alisson,0.8684210526
97,Lyon,201819#,12.60526316,306,0.139874739,0.4655532359,0.3945720251,11.57894737,5.710526316,fr FRA,3,38,21,9,8,70,47,23,72,1.89,73.7,43.9,29.8,0.78,49079,Moussa Dembélé - 15,Anthony Lopes,1.236842105
98,Lyon,201920#,17.96428571,314,0.1133200795,0.5308151093,0.3558648111,13.67857143,7.5,fr FRA,7,28,11,7,10,42,27,15,40,1.43,37.6,27.1,10.6,0.38,47299,Moussa Dembélé - 16,Anthony Lopes,0.9642857143
99,M'Gladbach,201819#,13.47058824,286,0.1004366812,0.4825327511,0.4170305677,13.44117647,7.176470588,de GER,5,34,16,7,11,55,42,13,55,1.62,52.2,52.3,0,0,49668,Alassane Pléa - 12,Yann Sommer,1.235294118
100,M'Gladbach,201920#,18.52941176,400,0.126984127,0.4603174603,0.4126984127,17.76470588,7.911764706,de GER,4,34,20,5,9,66,40,26,65,1.91,72,45.9,26.1,0.77,36078,Alassane Pléa Marcus Thuram - 10,Yann Sommer,1.176470588
101,Mainz 05,201819#,9.529411765,175,0.1358024691,0.4290123457,0.4351851852,10.76470588,5.588235294,de GER,12,34,12,7,15,46,57,-11,43,1.26,51.2,59.2,-8,-0.24,26246,Jean-Philippe Mateta - 14,Florian Müller,1.676470588
102,Mainz 05,201920#,18.52941176,386,0.1,0.4825396825,0.4174603175,18.38235294,8.705882353,de GER,13,34,11,4,19,44,65,-21,37,1.09,48.2,59.6,-11.5,-0.34,20694,Robin Quaison - 13,Robin Zentner,1.911764706
103,Mallorca,201920#,15.92105263,387,0.0958677686,0.532231405,0.3719008264,14.63157895,6.289473684,es ESP,19,38,9,6,23,40,65,-25,33,0.87,41.1,63.5,-22.4,-0.59,10877,Ante Budimir - 13,Manolo Reina,1.710526316
104,Manchester City,201819#,13.05263158,342,0.1512096774,0.4294354839,0.4193548387,10.78947368,7,eng ENG,1,38,32,2,4,95,23,72,98,2.58,84.3,24.7,59.6,1.57,54130,Sergio Agüero - 21,Ederson,0.6052631579
105,Manchester City,201920#,15.07894737,368,0.2006980803,0.3961605585,0.4031413613,12.5,6.105263158,eng ENG,2,38,26,3,9,102,35,67,81,2.13,92,36.2,55.7,1.47,37097,Raheem Sterling - 20,Ederson,0.9210526316
106,Manchester Utd,201819#,13.89473684,329,0.1193181818,0.5113636364,0.3693181818,14.36842105,7.394736842,eng ENG,6,38,19,9,10,65,54,11,66,1.74,61.4,50.6,10.8,0.29,74498,Paul Pogba - 13,David de Gea,1.421052632
107,Manchester Utd,201920#,16.26315789,359,0.1310679612,0.4724919094,0.3964401294,16.63157895,7.894736842,eng ENG,3,38,18,12,8,66,36,30,66,1.74,62.2,37.7,24.5,0.64,57415,Anthony Martial Marcus Rashford - 17,David de Gea,0.9473684211
108,Marseille,201819#,16.86842105,390,0.1248049922,0.4711388456,0.4040561622,12.52631579,6.473684211,fr FRA,5,38,18,7,13,60,52,8,61,1.61,52.7,45.6,7.1,0.19,50140,Florian Thauvin - 16,Steve Mandanda,1.368421053
109,Marseille,201920#,21.32142857,366,0.1155778894,0.4606365159,0.4237855946,14.57142857,6.714285714,fr FRA,2,28,16,8,4,41,29,12,56,2,36.2,31.8,4.4,0.16,52805,Darío Benedetto - 11,Steve Mandanda,1.035714286
110,Metz,201920#,22.96428571,405,0.09175738725,0.567651633,0.3405909798,17.32142857,9.25,fr FRA,15,28,8,10,10,27,35,-8,34,1.21,27.1,38.1,-11,-0.39,16583,Habib Diallo - 12,Alexandre Oukidja,1.25
111,Milan,201819#,16.21052632,402,0.1087662338,0.5454545455,0.3457792208,14.10526316,6.868421053,it ITA,5,38,19,11,8,55,36,19,68,1.79,48.8,41.2,7.6,0.2,54651,Krzysztof Piatek - 9,Gianluigi Donnarumma,0.9473684211
112,Milan,201920#,16.63157895,402,0.121835443,0.4731012658,0.4050632911,15.13157895,8.289473684,it ITA,6,38,19,9,10,63,46,17,66,1.74,62.8,45.1,17.7,0.46,34078,Ante Rebić - 11,Gianluigi Donnarumma,1.210526316
113,Monaco,201819#,12.86842105,304,0.1145194274,0.5235173824,0.3619631902,10.02631579,5.763157895,fr FRA,17,38,8,12,18,38,57,-19,36,0.95,47.4,50.2,-2.8,-0.07,8447,Radamel Falcao - 15,Diego Benaglio,1.5
114,Monaco,201920#,20.39285714,355,0.1068301226,0.4605954466,0.4325744308,14.28571429,9.535714286,fr FRA,9,28,11,7,10,44,44,0,40,1.43,48.8,42.7,6.1,0.22,6451,Wissam Ben Yedder - 18,Benjamin Lecomte,1.571428571
115,Montpellier,201819#,17.28947368,365,0.1187214612,0.4809741248,0.400304414,13.92105263,6.947368421,fr FRA,6,38,15,14,9,53,42,11,59,1.55,50.1,41.8,8.2,0.22,13829,Andy Delort - 14,Benjamin Lecomte,1.105263158
